Country,Country Code,2019 Life Expectancy,2020 Life Expectancy,2019 GDP (Billion $),2020 GDP (Billion $),lat,long
Aruba,ABW,76.248,75.723,3.39579888268156,2.55890630388098,12.5,-69.9667
Afghanistan,AFG,63.565,62.575,18.7994444901128,19.9559290521496,33.0,65.0
Angola,AGO,62.448,62.261,70.8979627320277,48.501561203568606,-12.5,18.5
Albania,ALB,79.282,76.989,15.4018261272539,15.1627342052462,41.0,20.0
United Arab Emirates,ARE,79.726,78.946,417.989721742682,349.47301533015695,24.0,54.0
Argentina,ARG,77.284,75.892,447.75468361522496,385.740508436965,-34.0,-64.0
Armenia,ARM,75.439,72.173,13.6192905392116,12.6416985832152,40.0,45.0
Antigua and Barbuda,ATG,78.691,78.841,1.72535185185185,1.4107962962962999,17.05,-61.8
Australia,AUS,82.9,83.2,1394.6713259605701,1330.3815449093001,-27.0,133.0
Austria,AUT,81.8951219512195,81.1926829268293,444.59615584525403,435.049316955737,47.3333,13.3333
Azerbaijan,AZE,73.102,66.868,48.1742352941176,42.693,40.5,47.5
Burundi,BDI,62.351,61.566,2.57651887982353,2.64968026144299,-3.5,30.0
Belgium,BEL,81.9951219512195,80.6951219512195,535.8658043498029,526.021513474243,50.8333,4.0
Benin,BEN,60.454,60.088,14.390708751025,15.686741883934,9.5,2.25
Burkina Faso,BFA,60.039,59.731,16.0328135016639,17.725010530789397,13.0,-2.0
Bangladesh,BGD,72.806,71.968,351.231655150827,373.979442653343,24.0,90.0
Bulgaria,BGR,75.1121951219512,73.6585365853659,68.8810102455498,70.368758395141,43.0,25.0
Bahrain,BHR,80.019,79.174,38.6533180851064,34.621807712766,26.0,50.55
Bosnia and Herzegovina,BIH,77.241,76.225,20.482608755379,20.226036564412897,44.0,18.0
Belarus,BLR,74.2268292682927,72.4572195121951,64.4101228473508,61.3717553262351,53.0,28.0
Belize,BLZ,73.931,72.854,2.38679247610637,2.04772781006777,17.25,-88.75
Bermuda,BMU,81.033,81.136,7.423465,6.887147,32.3333,-64.75
Brazil,BRA,75.338,74.009,1873.2882051864499,1476.10723119411,-10.0,-55.0
Barbados,BRB,77.257,77.393,5.36713925,4.77975655,13.1667,-59.5333
Brunei Darussalam,BRN,74.748,74.795,13.469235364703199,12.0057996539835,4.5,114.6667
Bhutan,BTN,71.391,71.609,2.73568340857651,2.45760404240959,27.5,90.5
Botswana,BWA,65.464,65.647,16.7259081485481,14.960291105931601,-22.0,24.0
Central African Republic,CAF,55.025,54.604,2.22130135143918,2.3267209003804696,7.0,21.0
Canada,CAN,82.2239024390244,81.6604878048781,1743.72518367252,1655.68473000019,60.0,-95.0
Switzerland,CHE,83.9048780487805,83.0,721.369112726724,741.999406005627,47.0,8.0
Chile,CHL,80.326,79.377,278.285058719466,254.04215930931102,-30.0,-71.0
China,CHN,77.968,78.077,14279.9685062717,14687.744162801,35.0,105.0
Cameroon,CMR,61.584,60.833,39.6677575276578,40.7732411770505,6.0,12.0
Colombia,COL,76.752,74.769,323.03170119284005,270.348342541465,4.0,-72.0
Comoros,COM,64.068,64.166,1.1950195319010999,1.22503919661091,-12.1667,44.25
Costa Rica,CRI,79.427,79.277,64.41767052118419,62.3956107603912,10.0,-84.0
Cuba,CUB,77.611,77.567,103.4276,107.3518,21.5,-80.0
Cyprus,CYP,81.397,81.391,25.9470201024332,25.227189744908298,35.0,33.0
Germany,DEU,81.2926829268293,81.0414634146342,3889.1775892549,3887.7271619144103,51.0,9.0
Djibouti,DJI,63.085,62.694,3.08885363856832,3.18515098103207,11.5,43.0
Dominica,DMA,73.559,73.649,0.611537037037037,0.504214814814815,15.4167,-61.3333
Denmark,DNK,81.4512195121951,81.6024390243903,346.498737961635,354.762748338661,56.0,10.0
Dominican Republic,DOM,73.577,72.889,88.9413725582397,78.8446562981776,19.0,-70.6667
Algeria,DZA,76.474,74.453,193.459662090677,164.873415325201,28.0,3.0
Ecuador,ECU,77.297,72.153,107.595829,95.865472,-2.0,-77.5
Spain,ESP,83.8317073170732,82.3317073170732,1394.3200551294099,1278.12886787549,40.0,-4.0
Estonia,EST,78.6463414634147,78.5951219512195,31.290453293545,31.3304198511487,59.0,26.0
Ethiopia,ETH,65.838,65.371,95.9126077223032,107.657734392446,8.0,38.0
Finland,FIN,81.9829268292683,81.9317073170732,268.51491697254903,271.886077382102,64.0,26.0
Fiji,FJI,67.893,67.924,5.44440719813478,4.43246621987685,-18.0,175.0
France,FRA,82.8268292682927,82.1756097560976,2728.8702467058797,2647.41869159845,46.0,2.0
Faroe Islands,FRO,82.6463414634146,82.8975609756098,3.26643273422819,3.26204588337293,62.0,-7.0
Gabon,GAB,66.603,66.531,16.8744054601955,15.314577167821101,-1.0,11.75
United Kingdom,GBR,81.4048780487805,80.3512195121951,2851.40716490781,2697.80659229386,54.0,-2.0
Georgia,GEO,73.47,72.765,17.638337116912602,16.01086921568,42.0,43.5
Ghana,GHA,64.74,64.114,68.33796924770671,70.0430955036675,8.0,-2.0
Guinea,GIN,59.72,59.327,13.4428614964128,14.1778358413923,11.0,-10.0
Guinea-Bissau,GNB,60.882,59.999,1.48647658206759,1.5204799845680799,12.0,-15.0
